,holiday,workingday,temp,atemp,humidity,windspeed,count,weekdaydata,weather_1.0,weather_2.0,season_1.0,season_2.0,season_3.0,day_of_week_0.0,day_of_week_1.0,day_of_week_2.0,day_of_week_3.0,day_of_week_4.0,day_of_week_5.0,month_1.0,month_2.0,month_3.0,month_4.0,month_5.0,month_6.0,month_7.0,month_8.0,month_9.0,month_10.0,month_11.0
0,0.0,1.0,0.6237984004347147,0.6501056228195711,0.9206640387013577,-0.9287579609233578,6073.0,False,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0.0,1.0,-0.1803103987409734,-0.0547585456750225,0.6968518804599256,-0.21350154950424685,6606.0,False,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0,1.0,0.8024892446959787,0.8514953852465978,-0.4483829972641412,0.8039258364827959,7363.0,False,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
3,0.0,0.0,-1.5204917307004537,-1.565181763877723,-0.33211340771796516,-0.26909937284281815,2431.0,True,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.0,1.0,0.5344529783040827,0.34802097917903096,1.9757894613244495,-1.199027287892882,1996.0,False,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5,0.0,1.0,0.6237984004347147,0.6501056228195711,0.4410615738726795,1.9406009676994647,4451.0,False,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,0.0,1.0,-0.8950737757860295,-0.8603175953831295,-2.095459942113233,2.0066537380474503,5315.0,False,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
7,0.0,1.0,0.5344529783040827,0.6501056228195711,-0.884385238017485,1.0026720785321719,4891.0,False,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,0.0,0.0,0.5344529783040827,0.6501056228195711,-0.9221674481922069,0.7245295885335533,8714.0,True,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,0.0,1.0,1.1598709332185069,1.0528851476736245,-0.09958120466146622,-0.26920162171332596,7347.0,False,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
